material_id,composition,bg,elements
mp-2980,Pr2Te4O11,3.65,"['O', 'Pr', 'Te']"
mp-473,Na3P11,0.77,"['Na', 'P']"
mp-1199125,In2Se2O7,2.97,"['In', 'O', 'Se']"
mp-2758,SrSe,4.42,"['Se', 'Sr']"
mp-31760,Sr2TaFeO6,2.18,"['Fe', 'O', 'Sr', 'Ta']"
mp-17756,RbAg2SbS4,2.3,"['Ag', 'Rb', 'S', 'Sb']"
mp-4770,Na2SO4,1.6,"['Na', 'O', 'S']"
mp-27614,Ca2V2O7,2.67,"['Ca', 'O', 'V']"
mp-19017,LiFePO4,3.75,"['Fe', 'Li', 'O', 'P']"
mp-943492,LiFeSO4F,2.83,"['F', 'Fe', 'Li', 'O', 'S']"
mp-1602,SiS2,2.95,"['S', 'Si']"
mp-7798,MgGeN2,3.2,"['Ge', 'Mg', 'N']"
mp-35493,Zn2SnO4,3.6,"['O', 'Sn', 'Zn']"
mp-1202829,Ba2GaBiTe5,1.43,"['Ba', 'Bi', 'Ga', 'Te']"
mp-13664,Sr2Ta2O7,4.465,"['O', 'Sr', 'Ta']"
mp-31285,Cs2PdSe8,1.5,"['Cs', 'Pd', 'Se']"
mp-3094,SrAl2O4,4.8,"['Al', 'O', 'Sr']"
mp-1403,Sm2S3,3.0,"['S', 'Sm']"
mp-1195298,CaSiP2,0.97,"['Ca', 'P', 'Si']"
mp-1102443,CoSbS,0.5,"['Co', 'S', 'Sb']"
mp-777049,LiFeBO3,3.4,"['B', 'Fe', 'Li', 'O']"
mp-1983109,ErBiW2O9,3.26,"['Bi', 'Er', 'O', 'W']"
mp-1200935,Ba2GaSbTe5,1.66,"['Ba', 'Ga', 'Sb', 'Te']"
mp-1229044,Ba12In4S19,2.56,"['Ba', 'In', 'S']"
mp-1223584,KBi3S5,1.21,"['Bi', 'K', 'S']"
mp-35909,AgBiI4,1.77,"['Ag', 'Bi', 'I']"
mp-1238811,CsPb2Br5,3.1,"['Br', 'Cs', 'Pb']"
mp-556440,CaZr4(PO4)6,4.3,"['Ca', 'O', 'P', 'Zr']"
mp-18918,ZnWO4,3.3,"['O', 'W', 'Zn']"
mp-1198962,CoTe6O13,3.3,"['Co', 'O', 'Te']"
mp-2133,ZnO,3.33,"['O', 'Zn']"
mp-1195769,NaIn3S5,2.18,"['In', 'Na', 'S']"
mp-22113,Ca2Fe2O5,2.2,"['Ca', 'Fe', 'O']"
mp-18960,ErVO4,3.41,"['Er', 'O', 'V']"
mp-17691,Cu3SbS3,1.87,"['Cu', 'S', 'Sb']"
mp-422,BeS,4.17,"['Be', 'S']"
mp-19254,FeSO4,1.03,"['Fe', 'O', 'S']"
mp-769271,Sr4Ta2O9,4.55,"['O', 'Sr', 'Ta']"
mp-23153,I,1.6,['I']
mp-22398,FeF3,4.01,"['F', 'Fe']"
mp-1198591,RbMoPO6,2.96,"['Mo', 'O', 'P', 'Rb']"
mp-17835,Sn2Sb2S5,1.47,"['S', 'Sb', 'Sn']"
mp-1095291,Li2SnSe3,1.95,"['Li', 'Se', 'Sn']"
mp-2172,AlAs,2.2,"['Al', 'As']"
mp-581967,Nb2O5,3.4,"['Nb', 'O']"
mp-1195344,Ba4Ga4SnSe12,2.16,"['Ba', 'Ga', 'Se', 'Sn']"
mp-22950,CsNiCl3,4.8,"['Cl', 'Cs', 'Ni']"
mp-570081,CuI,3.0,"['Cu', 'I']"
mp-560086,Nd4(GeS4)3,2.62,"['Ge', 'Nd', 'S']"
mp-19381,DyCrO3,2.8,"['Cr', 'Dy', 'O']"
mp-2809,Sb2S3,1.7,"['S', 'Sb']"
mp-5038,CsGaS2,3.305,"['Cs', 'Ga', 'S']"
mp-870,TlN3,3.58,"['N', 'Tl']"
mp-1195550,K2Ce(PO4)2,2.46,"['Ce', 'K', 'O', 'P']"
mp-25423,LiVPO4F,1.75,"['F', 'Li', 'O', 'P', 'V']"
mp-680246,Cs4Zr3S14,2.35,"['Cs', 'S', 'Zr']"
mp-31001,KSb3O5,3.81,"['K', 'O', 'Sb']"
mp-1112889,Cs2InBiCl6,0.99,"['Bi', 'Cl', 'Cs', 'In']"
mp-21723,SiPbO3,0.9,"['O', 'Pb', 'Si']"
mp-1080650,BaCuSF,2.7,"['Ba', 'Cu', 'F', 'S']"
mp-1048859,ZnCr2O4,3.35,"['Cr', 'O', 'Zn']"
mp-8258,BaAl4S7,3.9,"['Al', 'Ba', 'S']"
mp-28395,B6P,3.3,"['B', 'P']"
mp-5048,LiGaTe2,2.31,"['Ga', 'Li', 'Te']"
mp-1192564,Mg2GeSe4,1.76,"['Ge', 'Mg', 'Se']"
mp-758562,LiFeSiO4,2.9,"['Fe', 'Li', 'O', 'Si']"
mp-27726,SO2,1.8695,"['O', 'S']"
mp-18725,YCrO3,1.86,"['Cr', 'O', 'Y']"
mp-510490,GdScS3,2.1,"['Gd', 'S', 'Sc']"
mp-1209358,Rb3Ta2AsS11,2.21,"['As', 'Rb', 'S', 'Ta']"
mp-23290,PtCl2,0.5,"['Cl', 'Pt']"
mp-1434,MoS2,1.78,"['Mo', 'S']"
mp-559240,Li2MnSiO4,3.0,"['Li', 'Mn', 'O', 'Si']"
mp-23956,K2MgH4,3.46,"['H', 'K', 'Mg']"
mp-1191240,Sr2ZnSi2O7,4.24,"['O', 'Si', 'Sr', 'Zn']"
mp-18331,GdCrO3,3.2,"['Cr', 'Gd', 'O']"
mp-23043,RbPb2Br5,3.42,"['Br', 'Pb', 'Rb']"
mp-34903,MgGeP2,1.92,"['Ge', 'Mg', 'P']"
mp-77,S,1.51,['S']
mp-1194878,NaIn(TeO3)2,4.0,"['In', 'Na', 'O', 'Te']"
mp-10782,RbTbSe2,2.5,"['Rb', 'Se', 'Tb']"
mp-12535,K2ZnTe2,3.0,"['K', 'Te', 'Zn']"
mp-28572,LaBr2,1.0,"['Br', 'La']"
mp-5414,NaSbS2,1.71,"['Na', 'S', 'Sb']"
mp-686465,Gd2Ti2O7,3.2,"['Gd', 'O', 'Ti']"
mp-1206662,Cs2TiI6,1.04,"['Cs', 'I', 'Ti']"
mp-1190564,BiPO4,4.05,"['Bi', 'O', 'P']"
mp-1582,As2O3,4.5,"['As', 'O']"
mp-752613,CoSnO3,2.93,"['Co', 'O', 'Sn']"
mp-1194980,KY(TeO3)2,3.8,"['K', 'O', 'Te', 'Y']"
mp-1195270,Sr2P7I,2.0,"['I', 'P', 'Sr']"
mp-22341,PrFeO3,2.08,"['Fe', 'O', 'Pr']"
mp-6396,Li3V2(PO4)3,2.725,"['Li', 'O', 'P', 'V']"
mp-32689,Pr2Se3,1.85,"['Pr', 'Se']"
mp-644514,MnO2,2.0,"['Mn', 'O']"
mp-7988,Cs2O,2.74,"['Cs', 'O']"
mp-27384,AgIO3,3.26,"['Ag', 'I', 'O']"
mp-559186,BaBiBO4,3.53,"['B', 'Ba', 'Bi', 'O']"
mp-1198419,K2Cd3Se4,2.43,"['Cd', 'K', 'Se']"
mp-32798,La2Se3,1.97,"['La', 'Se']"
mp-1500,BaS,3.67,"['Ba', 'S']"
mp-27451,Tl3PbBr5,3.2,"['Br', 'Pb', 'Tl']"
mp-1189339,Ba2InSbSe5,1.92,"['Ba', 'In', 'Sb', 'Se']"
mp-1223463,KCNO,3.26,"['C', 'K', 'N', 'O']"
mp-561083,Na3Bi(PO4)2,3.54,"['Bi', 'Na', 'O', 'P']"
mp-1204598,Bi6Mo2O15,3.1,"['Bi', 'Mo', 'O']"
mp-557195,KCa2Nb3O10,3.44,"['Ca', 'K', 'Nb', 'O']"
mp-19323,SmVO4,2.28,"['O', 'Sm', 'V']"
mp-973966,LiIn(IO3)4,4.27,"['I', 'In', 'Li', 'O']"
mp-985831,HfSe2,1.13,"['Hf', 'Se']"
mp-1407369,LiCuS,2.0,"['Cu', 'Li', 'S']"
mp-697905,LaMg2NiH7,0.821,"['H', 'La', 'Mg', 'Ni']"
mp-1186,ZrS2,1.7,"['S', 'Zr']"
mp-9921,ZrS3,2.07,"['S', 'Zr']"
mp-540839,CsPbI3,1.73,"['Cs', 'I', 'Pb']"
mp-1222860,Li7Mn(BO3)3,5.0,"['B', 'Li', 'Mn', 'O']"
mp-567968,Mn11Si19,0.73,"['Mn', 'Si']"
mp-1048391,BaFe4O7,2.18,"['Ba', 'Fe', 'O']"
mp-17360,Ni2Te3O8,3.84,"['Ni', 'O', 'Te']"
mp-22791,TlInTe2,0.86,"['In', 'Te', 'Tl']"
mp-1192413,CsInTe3O8,3.9,"['Cs', 'In', 'O', 'Te']"
mp-1105127,MnP4,0.53,"['Mn', 'P']"
mp-2843,SnF2,1.3,"['F', 'Sn']"
mp-406,CdTe,1.5,"['Cd', 'Te']"
mp-684704,H2O,1.6,"['H', 'O']"
mp-573581,Na2TeSe3,1.91,"['Na', 'Se', 'Te']"
mp-1080060,LaAlO3,5.0,"['Al', 'La', 'O']"
mp-1194849,Na3MoO4F,4.77,"['F', 'Mo', 'Na', 'O']"
mp-1223642,InGaP2,1.84,"['Ga', 'In', 'P']"
mp-1193499,AgPd(IO3)3,1.5,"['Ag', 'I', 'O', 'Pd']"
mp-3439,SbPO4,4.385,"['O', 'P', 'Sb']"
mp-6548,K2La2Ti3O10,3.05,"['K', 'La', 'O', 'Ti']"
mp-2784,Na2Te,2.15,"['Na', 'Te']"
mp-31406,Bi2TeSe2,0.62,"['Bi', 'Se', 'Te']"
mp-22024,GdVO4,3.1,"['Gd', 'O', 'V']"
mp-555794,NaMg2V3O10,3.22,"['Mg', 'Na', 'O', 'V']"
mp-554782,Li2Ga2GeS6,3.65,"['Ga', 'Ge', 'Li', 'S']"
mp-1078258,Cs2AgBiCl6,2.44,"['Ag', 'Bi', 'Cl', 'Cs']"
mp-1192556,RbInTe3O8,3.9,"['In', 'O', 'Rb', 'Te']"
mp-1205847,Cs2PdBr6,1.6,"['Br', 'Cs', 'Pd']"
mp-1179114,ScO2,1.3,"['O', 'Sc']"
mp-542570,AsSe,1.215,"['As', 'Se']"
mp-1181313,Ga2(TeO3)3,4.145,"['Ga', 'O', 'Te']"
mp-20407,NdFeO3,3.8,"['Fe', 'Nd', 'O']"
mp-971684,C3N4,2.7,"['C', 'N']"
mp-22566,TlInS2,2.4,"['In', 'S', 'Tl']"
mp-2490,GaP,2.26,"['Ga', 'P']"
mp-8818,Ca2ZnN2,1.7,"['Ca', 'N', 'Zn']"
mp-966800,InP,1.35,"['In', 'P']"
mp-1188392,LiInS2,3.57,"['In', 'Li', 'S']"
mp-556516,Tl2S,0.79,"['S', 'Tl']"
mp-23292,HgBr2,3.59,"['Br', 'Hg']"
mp-1223975,K2Nd2Ti3O10,3.25,"['K', 'Nd', 'O', 'Ti']"
mp-19276,BaMoO4,3.35,"['Ba', 'Mo', 'O']"
mp-567290,LaN,0.6,"['La', 'N']"
mp-607267,KPb2Cl5,4.0,"['Cl', 'K', 'Pb']"
mp-12306,BaCdSnS4,2.3,"['Ba', 'Cd', 'S', 'Sn']"
mp-1193355,Mg2SnS4,2.05,"['Mg', 'S', 'Sn']"
mp-561536,NaMgBO3,2.916,"['B', 'Mg', 'Na', 'O']"
mp-558760,SrZrS3,1.53,"['S', 'Sr', 'Zr']"
mp-984519,NaAsSe2,1.73,"['As', 'Na', 'Se']"
mp-7394,BaAg2GeS4,1.7,"['Ag', 'Ba', 'Ge', 'S']"
mp-1105549,BaHfS3,1.69,"['Ba', 'Hf', 'S']"
mp-2659,LiN3,3.4,"['Li', 'N']"
mp-7684,Tl3AsSe3,1.3,"['As', 'Se', 'Tl']"
mp-715584,MoO3,3.0,"['Mo', 'O']"
mp-27449,GaTeCl,2.96,"['Cl', 'Ga', 'Te']"
mp-4533,Na2SiO3,4.0,"['Na', 'O', 'Si']"
mp-1192203,NaCdAsS3,2.93,"['As', 'Cd', 'Na', 'S']"
mp-2963,CaAl2O4,1.6,"['Al', 'Ca', 'O']"
mp-555874,LiAsS2,1.6,"['As', 'Li', 'S']"
mp-1189572,As2S3,2.3,"['As', 'S']"
mp-23384,LiIO3,4.1850000000000005,"['I', 'Li', 'O']"
mp-1191476,Li2In2GeS6,3.45,"['Ge', 'In', 'Li', 'S']"
mp-8361,CsTe,3.94,"['Cs', 'Te']"
mp-555269,Ag3SbS3,2.1125,"['Ag', 'S', 'Sb']"
mp-561103,BaTa2O6,3.8,"['Ba', 'O', 'Ta']"
mp-1539667,CsPbCl3,2.975,"['Cl', 'Cs', 'Pb']"
mp-1541,BeSe,2.725,"['Be', 'Se']"
mp-557920,Zn3(PO4)2,3.43,"['O', 'P', 'Zn']"
mp-1178577,AlFeO3,2.44,"['Al', 'Fe', 'O']"
mp-27381,CsSnI3,1.3,"['Cs', 'I', 'Sn']"
mp-28232,MgTi2O5,3.4,"['Mg', 'O', 'Ti']"
mp-1190138,Na2In2SiS6,2.87,"['In', 'Na', 'S', 'Si']"
