mpid,formula,bg_comp,bg_exp
mp-1016108,TiZnN2,2.342,
mp-1016111,MnHO2,1.424799999999999,
mp-1016120,KMnO2,1.8152,
mp-1016136,MnHO2,1.3888,
mp-1016154,MgMnO2,1.6279,
mp-1016190,KMn3O6,1.198599999999999,
mp-1016197,MgSiAs2,,1.985
mp-1016200,MgGeAs2,,1.95
mp-1016212,Sn3H6CNO7,1.0608,
mp-1016214,Bi2H18C3(IN)9,2.786,
mp-10163,NaAlTe2,1.2875,
mp-10165,KAlTe2,1.7037,
mp-10166,NaAlSe2,2.149799999999999,
mp-1016820,MgSnO3,1.308399999999999,
mp-1016821,BaSiO3,0.9473,
mp-1016825,HfMgO3,1.1738,
mp-1016827,MgGeO3,1.5499,
mp-1016830,MgTiO3,1.909799999999999,
mp-1016873,CaHfO3,3.6612,
mp-1016879,CdSiO3,0.6505999999999991,
mp-1016884,CaGeO3,0.5017,
mp-1016928,MgSiO3,2.9292,
mp-1017000,MgZrO3,1.0257,
mp-1017439,SrSiO3,2.383099999999999,
mp-10175,KCdF3,3.1006,
mp-1017508,LuTlTe2,0.7908000000000001,
mp-1017510,MgTe,0.9877,
mp-1017514,MgSiN2,4.179699999999999,
mp-1017534,ZnCdSe2,0.7236,
mp-1017548,Ca(BeP)2,0.7359,
mp-1017550,Be3N2,4.27,
mp-1017552,Bi2O3,1.1218,
mp-1017567,Hf2SN2,0.8851000000000001,
mp-1017628,Mg(BeP)2,0.6341,
mp-1017988,SrCaO2,3.32,
mp-1018025,LuAgO2,2.153,
mp-1018030,Sr2SO,2.1896,
mp-1018031,KInO2,2.077499999999999,
mp-1018033,AgRhO2,0.621799999999999,
mp-1018040,MgSe,,4.1
mp-1018049,LaN,1.7188999999999992,
mp-1018089,CaZnSe2,1.5191,
mp-1018096,Ba2NF,1.0924,
mp-1018097,BaCaO2,2.119799999999999,
mp-1018098,Ba2BrN,1.1377,
mp-1018099,Ba2NCl,1.1077,
mp-1018100,AlSb,0.9179,
mp-1018115,PbS,1.304,
mp-1018138,VI2,1.037,
mp-1018141,BaC2,1.3754,
mp-10182,LiZnP,,2.04
mp-1018275,GaP,0.8334,
mp-1018630,Ca(BeAs)2,0.6613999999999991,
mp-1018639,TiSnO3,1.0452,
mp-1018651,Ba2H3I,2.2391,
mp-1018655,CN2,2.716599999999999,
mp-1018656,Ca2H3Br,1.536499999999999,
mp-1018659,CeO2,0.8878,
mp-1018664,CeO2,2.1485,
mp-1018716,HfN2,0.5762,
mp-1018719,HfTaNO3,1.8989,
mp-1018721,HfO2,4.6678000000000015,
mp-1018731,HoSI,2.7205999999999992,
mp-1018737,KMgP,1.6589,
mp-1018752,LaTeCl,0.657099999999999,
mp-1018766,Li3LaAs2,0.5023,
mp-1018806,MoSeS,0.839,
mp-1018807,MoSe2,1.254399999999999,
mp-1018809,MoS2,1.3361,
mp-1018888,PdCl2,1.0968,
mp-1018891,PdCl2,0.8803000000000001,
mp-1019086,CN2,4.660499999999999,
mp-1019089,KMgAs,1.1621,
mp-10191,Lu2MgSe4,1.476999999999999,
mp-1019269,Sr2H3I,2.0572,
mp-1019322,Te2W,0.9389,
mp-1019323,Th2HN3,1.4184,
mp-1019378,Al3GaN4,3.349899999999999,
mp-1019379,AlB3N4,3.5993,
mp-1019380,Al3BN4,3.3606,
mp-1019381,Al7Si3BO18,4.9414,
mp-1019508,AlGa3N4,2.180799999999999,
mp-1019515,Ba3Ga3N5,1.417599999999999,
mp-1019516,Ba4GaN3O,1.381399999999999,
mp-1019517,Ba4Mg(SiN3)2,1.6168,
mp-1019520,Ba3Ca2(SiN3)2,1.565,
mp-1019521,Ba3MgGeN4,1.560499999999998,
mp-1019523,Ba3NaY3(Si3O10)2,4.8815,
mp-1019524,Ba3P6(N4O3)2,4.549800000000001,
mp-1019525,Ba3ZnB5PO14,4.8405000000000005,
mp-1019527,Ba3Y2(B2O5)3,4.5169,
mp-1019529,Ba8Al10B12O41,4.4373000000000005,3.1
mp-1019531,BaAl2Si3(NO)4,3.5521000000000003,
mp-1019532,BaAl4O7,4.1958,
mp-1019533,Ba9Y2(SiO4)6,4.5982,
mp-1019534,BaAl4O7,3.6891,
mp-1019535,BaAl2(SiO4)2,4.9116,
mp-1019537,BaAlSi4N5O3,3.2165,
mp-1019541,BaCa3O4,2.335099999999999,
mp-1019542,BaCaB2O5,4.4673,
mp-1019544,BaZrO3,,4.8
mp-1019545,Be(PN2)2,4.0393,
mp-1019546,BaY4Si5O17,4.9928,
mp-1019548,BaGe(S2O7)3,4.003,
mp-1019549,BaMg2Si2O7,4.558,
mp-1019550,BeGeN2,3.3941,
mp-1019551,BaNa2Mg(PO4)2,4.8864,
mp-1019557,BaS4O13,4.6756,
mp-1019558,BaSr2Mg(SiO4)2,4.759,
mp-1019559,Ca2B2O5,4.6781,
mp-1019560,Ca2B2O5,4.7075,
mp-1019561,Ca2GeO4,3.5628,
mp-1019562,Ca2SiO4,4.1738,
mp-1019563,Ca2SiO4,3.2582,
mp-1019565,Ca3Ga2(GeO4)3,3.172099999999999,
mp-1019566,Ca3ZnGe5O14,2.4999,
mp-1019568,CaAl2SiO6,4.484,
mp-1019569,Ca10Ge16(B2O17)3,3.0963,
mp-1019570,Ca8Si5O18,4.7787,
mp-1019572,CaAl2SiO6,4.549800000000001,
mp-1019573,CaAl2SiO6,4.619100000000001,
mp-1019575,Ca4Al6SO16,4.6874,
mp-1019576,Ca4SiN4,1.4498,
mp-1019578,Ca5(SiN3)2,2.460199999999999,
mp-1019579,CaMg3SiN4,2.4021,
mp-1019580,CaMg(SiO3)2,4.8477,
mp-1019583,CaAl2SiO6,4.291799999999999,
