mpids,formula,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,Temperature_raw_value,DOI,compound_type
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.68],,10.1016/j.tsf.2008.05.002,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.5],,10.1016/j.tsf.2010.02.034,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[3.75],,10.1016/j.tsf.2010.03.098,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.6],,10.1016/j.tsf.2010.03.106,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.9],,10.1016/j.tsf.2010.04.004,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.65],,10.1016/j.tsf.2010.04.012,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.65],,10.1016/j.tsf.2010.04.012,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.65],,10.1016/j.tsf.2010.04.012,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.6],,10.1016/j.tsf.2010.11.080,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.1],,10.1016/j.tsf.2010.11.080,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.0],,10.1016/j.tsf.2010.12.080,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1016/j.tsf.2010.12.210,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.6],,10.1016/j.tsf.2011.02.008,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1016/j.tsf.2012.07.111,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1016/j.tsf.2014.04.006,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.0],475,10.1016/j.tsf.2014.08.025,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.55],,10.1016/j.tsf.2015.04.014,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1016/j.tsf.2015.07.035,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.8],,10.1016/j.tsf.2016.01.007,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.7],,10.1016/j.tsf.2016.11.053,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[3.68],,10.1016/j.tsf.2017.09.014,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.95],600,10.1016/j.tsf.2017.10.020,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.5],,10.1016/j.tsf.2018.03.083,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1016/j.tsf.2018.07.009,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[5.8],,10.1016/j.tsf.2019.03.009,Double anions
mp-352,HfO2,True,False,4.0165,-4.019811040833332,[6.5],,10.1016/S0040-6090(01)01184-1,Double anions
