material_id,composition,bg,elements
mp-1103190,CaWO4,4.224299999999999,"['Ca', 'O', 'W']"
mp-1209748,Zr(SO3)2,1.6033,"['O', 'S', 'Zr']"
mp-756629,Li5MnF8,1.9945,"['F', 'Li', 'Mn']"
mp-1113150,Cs2TlAgF6,0.805299999999999,"['Ag', 'Cs', 'F', 'Tl']"
mp-752499,Li2VF4,2.9043,"['F', 'Li', 'V']"
mp-768072,NaMnPCO7,1.0877,"['C', 'Mn', 'Na', 'O', 'P']"
mp-758816,Li2Mn(PO4)2,0.6134000000000001,"['Li', 'Mn', 'O', 'P']"
mp-1263073,Li2Mn(SiO3)2,3.4173,"['Li', 'Mn', 'O', 'Si']"
mp-754334,NaTmO2,4.115600000000001,"['Na', 'O', 'Tm']"
mp-8184,Li2ZnGeO4,3.1053,"['Ge', 'Li', 'O', 'Zn']"
mp-774364,LiCrPO4,2.575199999999999,"['Cr', 'Li', 'O', 'P']"
mp-1348043,Mg2TaVO6,1.525999999999999,"['Mg', 'O', 'Ta', 'V']"
mp-1032276,SrMg6CuO8,0.5745,"['Cu', 'Mg', 'O', 'Sr']"
mp-732227,SbAsN(O2F)2,1.7138,"['As', 'F', 'N', 'O', 'Sb']"
mp-2714170,Na5Sc2SiGe2P5O24,2.4641,"['Ge', 'Na', 'O', 'P', 'Sc', 'Si']"
mp-1192492,Na5Tb4Si4O16F,4.7059000000000015,"['F', 'Na', 'O', 'Si', 'Tb']"
mp-1281647,Ba2LaMn2O7,0.9398,"['Ba', 'La', 'Mn', 'O']"
mp-1517918,BaTbNbSnO6,1.7967,"['Ba', 'Nb', 'O', 'Sn', 'Tb']"
mp-560656,CaTeO3,2.9438,"['Ca', 'O', 'Te']"
mp-2233570,MgNb2Cu2(O3F)2,1.192699999999999,"['Cu', 'F', 'Mg', 'Nb', 'O']"
mp-637209,AsN9,3.1971,"['As', 'N']"
mp-1247495,Cd2Si5N8,1.655,"['Cd', 'N', 'Si']"
mp-1227885,Ca2MgFe(CO3)4,3.877399999999999,"['C', 'Ca', 'Fe', 'Mg', 'O']"
mp-971787,VBr2,1.1332,"['Br', 'V']"
mp-1519024,NaCaHfBiO6,1.4638,"['Bi', 'Ca', 'Hf', 'Na', 'O']"
mp-675759,Tm10Ti6O27,1.730399999999999,"['O', 'Ti', 'Tm']"
mp-2715106,Na30Nb8Zn16Si15(S7O48)3,1.5811000000000002,"['Na', 'Nb', 'O', 'S', 'Si', 'Zn']"
mp-557603,K2MoH2(CO4)2,3.1115,"['C', 'H', 'K', 'Mo', 'O']"
mp-677246,Ba6Ti2Nb10Si8O51,2.6892,"['Ba', 'Nb', 'O', 'Si', 'Ti']"
mp-33997,TaO2F,2.0499,"['F', 'O', 'Ta']"
mp-2715549,Na8ZnSi4Ge3(PO12)2,1.9716999999999991,"['Ge', 'Na', 'O', 'P', 'Si', 'Zn']"
mp-1034004,KMg14CrO16,2.5372999999999992,"['Cr', 'K', 'Mg', 'O']"
mp-1412709,MgCuF4,1.0769,"['Cu', 'F', 'Mg']"
mp-771941,LiV(SO4)2,1.8683,"['Li', 'O', 'S', 'V']"
mp-1196510,KVH2SeO7,2.5911,"['H', 'K', 'O', 'Se', 'V']"
mp-1182147,CSN2,1.307899999999999,"['C', 'N', 'S']"
mp-772146,LiFePO4,3.0458,"['Fe', 'Li', 'O', 'P']"
mp-2715793,Na7Mg2SiSn2P5O24,2.221799999999999,"['Mg', 'Na', 'O', 'P', 'Si', 'Sn']"
mp-1179789,Rb2V3O8,1.9907,"['O', 'Rb', 'V']"
mp-726415,BaO2,2.687599999999999,"['Ba', 'O']"
mp-1220856,Na8Al6Si6IClO24,4.259200000000001,"['Al', 'Cl', 'I', 'Na', 'O', 'Si']"
mp-1211750,KAlBr4,4.214399999999999,"['Al', 'Br', 'K']"
mp-1218031,SrPb3S4,0.9832,"['Pb', 'S', 'Sr']"
mp-1283250,BaCoO3,1.1424,"['Ba', 'Co', 'O']"
mp-761127,Li7V3P8O29,0.779,"['Li', 'O', 'P', 'V']"
mp-541993,V2Se2O9,2.21,"['O', 'Se', 'V']"
mp-1199216,Cs2ZnBi2S5,1.7343000000000002,"['Bi', 'Cs', 'S', 'Zn']"
mp-1227370,Ca2Ti2SiGeO10,2.7324,"['Ca', 'Ge', 'O', 'Si', 'Ti']"
mp-1111578,K2TlInBr6,2.1232,"['Br', 'In', 'K', 'Tl']"
mp-558660,Mg2BiPO6,3.816699999999999,"['Bi', 'Mg', 'O', 'P']"
mp-4825,Li7VN4,2.8999,"['Li', 'N', 'V']"
mp-27256,Sb2(S2O7)3,4.1996,"['O', 'S', 'Sb']"
mp-1233593,Ho2MgAg2(WO4)4,1.9614,"['Ag', 'Ho', 'Mg', 'O', 'W']"
mp-28076,K3Mn2Cl7,1.1779,"['Cl', 'K', 'Mn']"
mp-1516247,KCaZrSbO6,3.2186,"['Ca', 'K', 'O', 'Sb', 'Zr']"
mp-773844,Li2V3CuO8,0.6110000000000001,"['Cu', 'Li', 'O', 'V']"
mp-1025941,Mo2W(SeS2)2,0.7841,"['Mo', 'S', 'Se', 'W']"
mp-1046232,Mg(BiO2)4,0.590399999999999,"['Bi', 'Mg', 'O']"
mp-675152,NdPb8F19,3.4975,"['F', 'Nd', 'Pb']"
mp-6215,AgHgAsS3,1.2453,"['Ag', 'As', 'Hg', 'S']"
mp-2713507,NaScTa(PO4)3,3.250899999999999,"['Na', 'O', 'P', 'Sc', 'Ta']"
mp-1112159,K2ScCuCl6,1.877199999999999,"['Cl', 'Cu', 'K', 'Sc']"
mp-1042300,Ta(WO4)2,2.4493,"['O', 'Ta', 'W']"
mp-1184273,EuBr2,1.1673,"['Br', 'Eu']"
mp-556959,VZnSe2O7,2.0909,"['O', 'Se', 'V', 'Zn']"
mp-1177693,Li3CrPCO7,1.9515999999999991,"['C', 'Cr', 'Li', 'O', 'P']"
mp-1205469,BaZn2H16O11,3.5073,"['Ba', 'H', 'O', 'Zn']"
mp-1008500,BaO,2.3602,"['Ba', 'O']"
mp-15895,Cu2SiS3,0.8804000000000001,"['Cu', 'S', 'Si']"
mp-2715919,Na10Sc4Si7Ge4S5O48,1.6720000000000002,"['Ge', 'Na', 'O', 'S', 'Sc', 'Si']"
mp-1567719,FeMo2H7O11,2.6523,"['Fe', 'H', 'Mo', 'O']"
mp-16035,Gd2TeO2,0.772899999999999,"['Gd', 'O', 'Te']"
mp-2218342,MgCr2(WO4)2,1.5481999999999991,"['Cr', 'Mg', 'O', 'W']"
mp-774985,Ni4P2O9,2.7593,"['Ni', 'O', 'P']"
mp-1227389,BiPbIO2,1.7164,"['Bi', 'I', 'O', 'Pb']"
mp-1521056,Sr2SmSbO6,3.4098,"['O', 'Sb', 'Sm', 'Sr']"
