model,split,fold,ckpt,test_loss,test_mae,test_mre,test_r2
chgnet_z,crystalsys,mf.crystalsys.k0_outer,output/crystalsys/chgnet_z_9056200.txt,1.1783852577209473,0.8435418605804443,0.5074930191040039,0.0682654380798339
chgnet_z,crystalsys,mf.crystalsys.k1_outer,output/crystalsys/chgnet_z_9056200.txt,0.7725396156311035,0.6788675785064697,0.3608737885951996,0.2688980400562286
chgnet_z,crystalsys,mf.crystalsys.k2_outer,output/crystalsys/chgnet_z_9056200.txt,0.7354516983032227,0.6260195970535278,0.2988266050815582,0.4029125273227691
chgnet_z,crystalsys,mf.crystalsys.k3_outer,output/crystalsys/chgnet_z_9056200.txt,0.6810221076011658,0.6052582859992981,0.3357579708099365,0.2833928763866424
chgnet_z,crystalsys,mf.crystalsys.k4_outer,output/crystalsys/chgnet_z_9056200.txt,1.0270496606826782,0.8196824193000793,0.4421979188919067,0.0272202417254447
chgnet_z,crystalsys,mf.crystalsys.k5_outer,output/crystalsys/chgnet_z_9056200.txt,0.4989777505397796,0.5157417058944702,0.2677647173404693,0.502466082572937
chgnet_z,crystalsys,mf.crystalsys.k6_outer,output/crystalsys/chgnet_z_9056200.txt,0.5571322441101074,0.5415164828300476,0.2829028367996216,0.255703866481781
leftnet_prop,crystalsys,mf.crystalsys.k0_outer,output/crystalsys/leftnet_prop_9056206.txt,0.95155531167984,0.7548829913139343,0.4376987218856811,0.2276796847581863
leftnet_prop,crystalsys,mf.crystalsys.k1_outer,output/crystalsys/leftnet_prop_9056201.txt,0.5475864410400391,0.5566094517707825,0.3070138096809387,0.4931108355522156
leftnet_prop,crystalsys,mf.crystalsys.k2_outer,output/crystalsys/leftnet_prop_9056206.txt,1.2456550598144531,0.8160400390625,0.3371084630489349,-0.0165726765990257
leftnet_prop,crystalsys,mf.crystalsys.k3_outer,output/crystalsys/leftnet_prop_9056201.txt,0.5794743299484253,0.5712345242500305,0.3151237666606903,0.3967380821704864
leftnet_prop,crystalsys,mf.crystalsys.k4_outer,output/crystalsys/leftnet_prop_9056201.txt,0.9994454383850098,0.7717494964599609,0.3952951431274414,0.0492135807871818
leftnet_prop,crystalsys,mf.crystalsys.k5_outer,output/crystalsys/leftnet_prop_9056206.txt,0.5206834673881531,0.5215618014335632,0.2591597139835357,0.4913645982742309
leftnet_prop,crystalsys,mf.crystalsys.k6_outer,output/crystalsys/leftnet_prop_9056201.txt,0.462369829416275,0.5150452256202698,0.2578449547290802,0.4081696569919586
